,customer_city,customer_count
0,sao paulo,15540
1,rio de janeiro,6882
2,belo horizonte,2773
3,brasilia,2131
4,curitiba,1521
5,campinas,1444
6,porto alegre,1379
7,salvador,1245
8,guarulhos,1189
9,sao bernardo do campo,938
10,niteroi,849
11,santo andre,797
12,osasco,746
13,santos,713
14,goiania,692
15,sao jose dos campos,691
16,fortaleza,654
17,sorocaba,633
18,recife,613
19,florianopolis,570
20,jundiai,565
21,ribeirao preto,510
22,belem,447
23,nova iguacu,442
24,barueri,433
25,juiz de fora,427
26,contagem,426
27,sao goncalo,409
28,mogi das cruzes,383
29,vitoria,380
30,uberlandia,374
31,piracicaba,369
32,sao luis,353
33,sao jose do rio preto,335
34,vila velha,334
35,carapicuiba,328
36,maua,323
37,campo grande,320
38,praia grande,316
39,londrina,306
40,taboao da serra,296
41,diadema,286
42,serra,285
43,teresina,281
44,indaiatuba,280
45,sao caetano do sul,277
46,bauru,273
47,maringa,271
48,taubate,270
49,duque de caxias,266
50,joinville,264
51,joao pessoa,256
52,cotia,250
53,cuiaba,248
54,maceio,247
55,sao carlos,241
56,petropolis,240
57,macae,239
58,campos dos goytacazes,238
59,suzano,234
60,volta redonda,232
61,guaruja,226
62,aracaju,225
63,americana,224
64,caxias do sul,224
65,montes claros,211
66,canoas,210
67,natal,207
68,betim,203
69,santa maria,197
70,marilia,196
71,jacarei,194
72,uberaba,191
73,limeira,190
74,blumenau,188
75,pelotas,186
76,feira de santana,185
77,santana de parnaiba,185
78,valinhos,183
79,sumare,183
80,itaquaquecetuba,172
81,ipatinga,171
82,itapevi,170
83,sao jose,169
84,sao vicente,165
85,embu das artes,165
86,franca,161
87,presidente prudente,161
88,atibaia,159
89,rio claro,157
90,araraquara,155
91,cascavel,153
92,nova friburgo,152
93,braganca paulista,146
94,hortolandia,145
95,ponta grossa,143
96,governador valadares,141
97,aracatuba,141
98,manaus,140
99,marica,139
100,cariacica,139
101,rio das ostras,137
102,divinopolis,137
103,itu,136
104,jaboatao dos guararapes,135
105,sao joao de meriti,134
106,sao jose dos pinhais,133
107,pouso alegre,131
108,paulinia,130
109,sete lagoas,128
110,rio grande,125
111,novo hamburgo,123
112,barra mansa,123
113,cachoeiro de itapemirim,122
114,pocos de caldas,122
115,itajai,120
116,teresopolis,120
117,santa barbara d'oeste,119
118,resende,117
119,cabo frio,117
120,passo fundo,113
121,porto velho,113
122,anapolis,113
123,gravatai,112
124,ferraz de vasconcelos,111
125,belford roxo,111
126,mage,111
127,aparecida de goiania,110
128,palmas,110
129,franco da rocha,109
130,ribeirao pires,109
131,nilopolis,107
132,sao leopoldo,105
133,chapeco,103
134,caieiras,102
135,cajamar,101
136,botucatu,101
137,ribeirao das neves,101
138,pindamonhangaba,101
139,santa luzia,100
140,patos de minas,100
141,francisco morato,100
142,balneario camboriu,100
143,itapecerica da serra,98
144,nova lima,98
145,guaratingueta,98
146,itatiba,97
147,vinhedo,95
148,palhoca,95
149,salto,95
150,araras,94
151,itajuba,94
152,mogi-guacu,93
153,olinda,93
154,criciuma,93
155,vitoria da conquista,92
156,vicosa,91
157,varginha,89
158,jaragua do sul,89
159,caraguatatuba,89
160,ananindeua,88
161,foz do iguacu,87
162,lages,85
163,angra dos reis,85
164,poa,85
165,votorantim,85
166,jandira,85
167,conselheiro lafaiete,84
168,assis,84
169,lorena,83
170,lavras,83
171,sao joao da boa vista,82
172,varzea paulista,80
173,barbacena,80
174,itanhaem,80
175,ourinhos,80
176,cubatao,79
177,itabira,79
178,sao roque,79
179,birigui,79
180,itapetininga,78
181,araxa,78
182,araruama,77
183,ubatuba,76
184,mesquita,76
185,mogi mirim,76
186,mairipora,75
187,lauro de freitas,75
188,catanduva,75
189,teofilo otoni,75
190,tatui,75
191,rio branco,74
192,cacapava,74
193,jau,74
194,viamao,73
195,barretos,73
196,ilheus,72
197,cachoeirinha,72
198,toledo,71
199,pinhais,69
200,pirassununga,69
201,aruja,69
202,campina grande,68
203,rio verde,67
204,guarapari,67
205,sao joao del rei,67
206,amparo,67
207,linhares,65
208,rondonopolis,65
209,guarapuava,65
210,manhuacu,65
211,bage,65
212,colatina,65
213,petrolina,65
214,muriae,64
215,caruaru,64
216,dourados,64
217,avare,64
218,valenca,63
219,paracatu,63
220,votuporanga,63
221,parnamirim,63
222,colombo,62
223,caratinga,62
224,sertaozinho,62
225,itabuna,62
226,jaguariuna,62
227,santa cruz do sul,62
228,camacari,61
229,sao sebastiao,61
230,brusque,60
231,itaborai,60
232,lagoa santa,60
233,paranagua,60
234,tubarao,60
235,itapeva,58
236,erechim,58
237,ouro preto,57
238,itauna,57
239,campo mourao,56
240,alvorada,56
241,ituiutaba,56
242,bento goncalves,56
243,cruzeiro,56
244,itapira,55
245,lins,55
246,queimados,54
247,barra do pirai,54
248,macapa,54
249,araucaria,54
250,jaboticabal,54
251,unai,54
252,araguari,54
253,timoteo,54
254,jatai,54
255,tupa,53
256,fernandopolis,53
257,pato branco,53
258,uba,53
259,francisco beltrao,52
260,ijui,52
261,barreiras,52
262,matao,52
263,apucarana,52
264,cosmopolis,52
265,bebedouro,51
266,joao monlevade,51
267,lajeado,51
268,nova serrana,51
269,concordia,50
270,boituva,50
271,leme,50
272,registro,50
273,ibirite,50
274,bertioga,49
275,campo limpo paulista,48
276,sao mateus,48
277,itaguai,48
278,uruguaiana,48
279,saquarema,47
280,paranavai,47
281,videira,47
282,patrocinio,47
283,itaperuna,47
