,year_month,purchase_count,month_name
0,2016-09,4,September
1,2016-10,324,October
2,2016-12,1,December
3,2017-01,800,January
4,2017-02,1780,February
5,2017-03,2682,March
6,2017-04,2404,April
7,2017-05,3700,May
8,2017-06,3245,June
9,2017-07,4026,July
10,2017-08,4331,August
11,2017-09,4285,September
12,2017-10,4631,October
13,2017-11,7544,November
14,2017-12,5673,December
15,2018-01,7269,January
16,2018-02,6728,February
17,2018-03,7211,March
18,2018-04,6939,April
19,2018-05,6873,May
20,2018-06,6167,June
21,2018-07,6292,July
22,2018-08,6512,August
23,2018-09,16,September
24,2018-10,4,October
