,seller_city,seller_count
0,sao paulo,694
1,curitiba,127
2,rio de janeiro,96
3,belo horizonte,68
4,ribeirao preto,52
5,guarulhos,50
6,ibitinga,49
7,santo andre,45
8,campinas,41
9,maringa,40
10,sao jose do rio preto,33
11,sorocaba,32
12,osasco,32
13,sao bernardo do campo,32
14,brasilia,28
15,porto alegre,28
16,londrina,26
17,goiania,23
18,joinville,22
19,blumenau,21
20,sao caetano do sul,20
21,franca,20
22,sao jose dos campos,18
23,caxias do sul,18
24,florianopolis,18
25,limeira,17
26,santos,16
27,marilia,15
28,mogi das cruzes,15
29,bauru,14
30,jundiai,14
31,cascavel,14
32,sao carlos,13
33,maua,13
34,barueri,13
35,piracicaba,12
36,uberlandia,12
37,contagem,12
38,presidente prudente,12
39,rio claro,12
40,atibaia,11
41,araraquara,11
42,carapicuiba,10
43,juiz de fora,10
44,arapongas,10
45,cotia,10
46,birigui,10
47,sao jose dos pinhais,10
48,catanduva,10
49,praia grande,10
50,taboao da serra,10
51,itajai,10
52,brusque,10
53,americana,10
54,canoas,9
55,itaquaquecetuba,9
56,diadema,9
57,pedreira,9
58,jaragua do sul,9
59,santana de parnaiba,9
60,porto ferreira,9
61,salto,9
62,palhoca,8
63,apucarana,8
64,assis,8
65,pinhais,8
66,colombo,8
67,toledo,8
68,niteroi,8
69,divinopolis,8
70,mogi guacu,8
71,indaiatuba,8
72,jacarei,7
73,salvador,7
74,sao goncalo,7
75,sao roque,7
76,fortaleza,7
77,valinhos,7
78,ponta grossa,6
79,petropolis,6
80,taubate,6
81,uba,6
82,fazenda rio grande,6
83,ribeirao pires,6
84,guaruja,6
85,novo hamburgo,6
86,santa rita do sapucai,6
87,claudio,6
88,lencois paulista,6
89,sumare,5
90,amparo,5
91,sao jose,5
92,recife,5
93,foz do iguacu,5
94,tubarao,5
95,lajeado,5
96,vila velha,5
97,betim,5
98,nova friburgo,5
99,pocos de caldas,5
100,braganca paulista,5
101,penapolis,5
102,nova iguacu,5
103,itatiba,4
104,francisco beltrao,4
105,varginha,4
106,jau,4
107,botucatu,4
108,itapecerica da serra,4
109,itu,4
110,itapevi,4
111,jaguariuna,4
112,garca,4
113,jaci,4
114,sete lagoas,4
115,santa barbara d'oeste,4
116,araguari,4
117,borda da mata,4
118,formiga,4
119,aracatuba,4
120,barra mansa,4
121,votorantim,4
122,cachoeiro de itapemirim,4
123,fernandopolis,4
124,votuporanga,4
125,sp,4
126,vitoria,4
127,mirassol,4
128,criciuma,4
129,campo grande,4
130,tupa,4
131,umuarama,4
132,paulinia,4
133,capivari,4
134,rio do sul,4
135,barretos,4
136,guaratuba,3
137,uberaba,3
138,sao joao de meriti,3
139,ferraz de vasconcelos,3
140,balneario camboriu,3
141,sao bento do sul,3
142,venancio aires,3
143,vargem grande do sul,3
144,artur nogueira,3
145,pelotas,3
146,osvaldo cruz,3
147,navegantes,3
148,morrinhos,3
149,montes claros,3
150,pompeia,3
151,mogi mirim,3
152,anapolis,3
153,mesquita,3
154,marechal candido rondon,3
155,macae,3
156,loanda,3
157,laranjal paulista,3
158,duque de caxias,3
159,rolandia,3
160,jacutinga,3
161,araras,3
162,santa maria,3
163,santa terezinha de itaipu,3
164,sao paulo - sp,3
165,aruja,3
166,carazinho,3
167,boituva,3
168,tres coracoes,3
169,conselheiro lafaiete,3
170,tatui,3
171,batatais,3
172,campo largo,3
173,cambe,3
174,chapeco,3
175,serra negra,3
176,sarandi,3
177,bento goncalves,3
178,serra,3
179,suzano,3
180,tabatinga,3
181,cachoeirinha,3
182,porto belo,2
183,itauna,2
184,tanabi,2
185,santa barbara d´oeste,2
186,itapetininga,2
187,pitanga,2
188,belford roxo,2
189,imbituba,2
190,cajamar,2
191,montenegro,2
192,itajobi,2
193,armacao dos buzios,2
194,itaipulandia,2
195,indaial,2
196,araxa,2
197,santa rosa,2
198,ipatinga,2
199,ipira,2
200,rodeio,2
201,campo bom,2
202,jaboticabal,2
203,vicosa,2
204,rio bonito,2
205,lorena,2
206,mairipora,2
207,ribeirao das neves,2
208,registro,2
209,lauro de freitas,2
210,laurentino,2
211,canoinhas,2
212,campo limpo paulista,2
213,lagoa da prata,2
214,lages,2
215,cariacica,2
216,araucaria,2
217,sombrio,2
218,joao pessoa,2
219,andradas,2
220,videira,2
221,pradopolis,2
