,product_category_name_english,average_review_score
11,cds_dvds_musicals,4.642857142857143
29,fashion_childrens_clothes,4.5
8,books_general_interest,4.446265938069216
22,costruction_tools_tools,4.444444444444445
35,flowers,4.419354838709677
9,books_imported,4.4
10,books_technical,4.368421052631579
37,food_drink,4.315412186379929
53,luggage_accessories,4.315257352941177
64,small_appliances_home_oven_and_coffee,4.302631578947368
32,fashion_sport,4.258064516129032
31,fashion_shoes,4.233716475095785
36,food,4.218181818181818
55,music,4.2105263157894735
13,cine_photo,4.205479452054795
